name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Thể Thao - Dã Ngoại,Các môn thể thao chơi vợt,Tennis,Phụ kiện tennis,,c23910,https://tiki.vn/phu-kien-tennis/c23910
Thể Thao - Dã Ngoại,Các môn thể thao chơi vợt,Tennis,Trang thiết bị sân tennis,,c23914,https://tiki.vn/trang-thiet-bi-san-tennis/c23914
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Kính bơi,,c24320,https://tiki.vn/kinh-boi/c24320
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Nón bơi,,c24322,https://tiki.vn/non-boi/c24322
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Phao bơi,,c24324,https://tiki.vn/phao-boi/c24324
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Phụ kiện bơi lội,,c24326,https://tiki.vn/phu-kien-boi-loi/c24326
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Quần áo bơi chuyên dụng nữ,,c44462,https://tiki.vn/quan-ao-boi-chuyen-dung-nu/c44462
Thể Thao - Dã Ngoại,Thể thao dưới nước,Bơi lội,Quần áo bơi chuyên dụng nam,,c44464,https://tiki.vn/quan-ao-boi-chuyen-dung-nam/c44464
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,"Kính lặn ống thở, mặt nạ lặn",,c24330,https://tiki.vn/kinh-lan-ong-tho-mat-na-lan/c24330
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Trang phục lặn,,c24332,https://tiki.vn/trang-phuc-lan/c24332
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Chân nhái,,c24334,https://tiki.vn/chan-nhai/c24334
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lặn biển,Phụ kiện lặn biển khác,,c24336,https://tiki.vn/phu-kien-lan-bien-khac/c24336
Thể Thao - Dã Ngoại,Thể thao dưới nước,Lướt ván,,,c8447,https://tiki.vn/luot-van/c8447
Thể Thao - Dã Ngoại,Thể thao dưới nước,Chèo thuyền,,,c8448,https://tiki.vn/cheo-thuyen/c8448
Thể Thao - Dã Ngoại,Thể thao dưới nước,Phao trượt,,,c8450,https://tiki.vn/phao-truot/c8450
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Dao xếp đa năng,,,c24272,https://tiki.vn/dao-xep-da-nang/c24272
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Kìm đa năng,,,c24274,https://tiki.vn/kim-da-nang/c24274
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Bật lửa Zippo,,,c24276,https://tiki.vn/bat-lua-zippo/c24276
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,"Lều trại, mái che",,,c24278,https://tiki.vn/leu-trai-mai-che/c24278
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Túi ngủ,,,c24280,https://tiki.vn/tui-ngu/c24280
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Thảm dã ngoại,,,c24282,https://tiki.vn/tham-da-ngoai/c24282
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,La bàn,,,c24284,https://tiki.vn/la-ban/c24284
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,"Trang phục, phụ kiện chống thấm nước",,,c24286,https://tiki.vn/trang-phuc-phu-kien-chong-tham-nuoc/c24286
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,"Bàn, ghế xếp dã ngoại",,,c24288,https://tiki.vn/ban-ghe-xep-da-ngoai/c24288
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,"Bếp, nồi dã ngoại",,,c24290,https://tiki.vn/bep-noi-da-ngoai/c24290
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Đồ dùng dã ngoại khác,,,c24292,https://tiki.vn/do-dung-da-ngoai-khac/c24292
Thể Thao - Dã Ngoại,Đồ dùng dã ngoại,Đèn pin đội đầu,,,c3242,https://tiki.vn/den-pin-doi-dau/c3242
Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho mẹ,,,,c10416,https://tiki.vn/dinh-duong-cho-me/c10416
Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho người lớn,,,,c10418,https://tiki.vn/dinh-duong-cho-nguoi-lon/c10418
Đồ Chơi - Mẹ & Bé,Chuẩn bị mang thai,Que thử thai,,,c10571,https://tiki.vn/que-thu-thai/c10571
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Hộp chia đồ ăn,,c10449,https://tiki.vn/hop-chia-do-an/c10449
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Bình sữa, Bình tập uống",Bình sữa,c10420,https://tiki.vn/binh-sua/c10420
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Bình sữa, Bình tập uống","Bình uống, Bình đựng nước",c10421,https://tiki.vn/binh-uong-binh-dung-nuoc/c10421
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Bình sữa, Bình tập uống",Bình ăn dặm (bình thìa),c10422,https://tiki.vn/binh-an-dam-binh-thia/c10422
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Núm ti,,c2558,https://tiki.vn/num-ti/c2558
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Cọ rửa bình sữa,c10430,https://tiki.vn/co-rua-binh-sua/c10430
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Máy giập núm ty,c10431,https://tiki.vn/may-giap-num-ty/c10431
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Giá úp bình sữa/Khay,c10432,https://tiki.vn/gia-up-binh-sua-khay/c10432
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Kẹp gắp bình sữa,c10433,https://tiki.vn/kep-gap-binh-sua/c10433
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Hộp đựng phụ kiện bình,c10434,https://tiki.vn/hop-dung-phu-kien-binh/c10434
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Miếng lót chống nóng (tay cầm bình sữa),c10435,https://tiki.vn/mieng-lot-chong-nong-tay-cam-binh-sua/c10435
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Túi giữ nhiệt (bình sữa/bình nước),c2562,https://tiki.vn/tui-giu-nhiet/c2562
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Phụ kiện bình sữa,Hộp chia sữa,c2563,https://tiki.vn/hop-chia-sua/c2563
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Dụng cụ tập ăn,,c2561,https://tiki.vn/dung-cu-tap-an/c2561
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Máy tiệt trùng, hâm sữa",Máy tiệt trùng,c10428,https://tiki.vn/may-tiet-trung/c10428
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Máy tiệt trùng, hâm sữa",Máy hâm sữa,c10429,https://tiki.vn/may-ham-sua/c10429
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Yếm, khăn cho bé",,c2565,https://tiki.vn/yem-khan-cho-be/c2565
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Ghế ăn,,c2580,https://tiki.vn/ghe-an/c2580
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,"Bình tập uống, Ly uống nước",,c6567,https://tiki.vn/binh-tap-uong/c6567
Đồ Chơi - Mẹ & Bé,Đồ dùng cho bé,Đồ dùng ăn uống cho bé,Ngậm nướu,,c8461,https://tiki.vn/ngam-nuou/c8461
